Country Name,Country Code,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),GDP (constant 2015 US$),Gross_Capital_gdp_pct,Gross_Capital_growth,Gross capital formation (constant 2015 US$),"Population, total",energy_usage,GDP per capita,Vulnerability Score
Cote d'Ivoire,CIV,0.24529765818543697,1.0250854863661414,856.4114618166908,62.24616501187758,44277448376.875656,23.004302647732608,16.10836545491837,10191620092.20087,24886868.5,21417906417.09769,1778.6277404459722,0.49661254563748564
Croatia,HRV,0.353958185525648,8.439495330694708,2050.699108819023,84.35183117106408,50426182207.14353,18.76969591345814,2.8108387301635958,9468956594.961458,4176661.5,8561678663.789121,12074.580831350808,0.3829034683474069
Cuba,CUB,0.33047253553652295,3.5959399864506105,1611.7811241262013,91.79820727998253,85281351304.67651,8.50022199139612,6.69530432820013,7265561601.781007,11280420.0,18178488056.49049,7560.201609205127,0.4360843233001391
Curacao,CUW,0.22260073458433552,2.0,9011.69978483882,98.0,3051804251.682843,26.079435345235005,3.8782272167837846,795913565.4505079,156944.5,1410568366.0254745,19445.67083568264,0.34479028761890707
Cyprus,CYP,0.3491873718077923,8.033706839498848,1914.2777252091182,95.4531075130164,19580188305.820885,13.255206762815162,2.887689090232911,2595616472.376232,1210651.5,2319936390.201943,16172.142727124376,0.3615171247985785
Czechia,CZE,0.5838866351125797,8.883467098566543,3887.5582733095034,76.50655465279044,184640518217.3891,26.159030156395968,9.365542723211476,48336334899.61088,10535703.0,40957874000.0,17524.820662022565,0.2614182213546227
Denmark,DNK,0.11770950800732341,60.64879121443039,2844.594056363101,66.31582379572389,298649233689.3525,20.345867107799357,5.141018536573014,60768922941.857155,5663479.0,16109739000.0,52731.18797302795,0.33807951662809416
Djibouti,DJI,0.36344657853900697,2.0,1147.1338237513926,98.0,2339546175.277169,-0.545710289723857,-185.26235426770018,-15652076.583322171,1011515.0,1160343069.73189,2312.358345089307,0.503489337316671
Dominica,DMA,0.12711596860862473,2.0,2186.9392427432554,98.0,548329551.1567127,14.207125249053268,2.849944870215566,77970472.78711978,70391.5,153941933.70556188,7789.741438440781,0.4536045928407974
Dominican Republic,DOM,0.3306748269506103,4.818630273144126,1463.8885664803997,92.28179798993317,68859702757.3244,23.27754242531413,13.767091796108511,16032640820.67335,10375178.5,15231235515.707682,6635.907574343573,0.4340350330372696
Ecuador,ECU,0.4364628431665423,2.0693285707930693,1535.6434392978251,92.44233018236716,97151451463.73918,23.696163308235963,-4.043362546210744,23020579877.508175,16150674.5,24876934891.89571,6015.600704089976,0.47600038923089355
"Egypt, Arab Rep.",EGY,0.732734291211804,0.9225546812950381,957.1779940095685,97.96446489392177,322468190785.48956,13.965914751435355,5.154353132628152,45057895253.12842,98562998.0,94538812381.96758,3271.3220282469897,0.4159160715776786
El Salvador,SLV,0.30366186211137836,33.66094441663056,903.4309138033431,73.2147936704384,23163573115.106678,16.207101639659033,1.8224040938483839,3753621657.896539,6173315.5,5579688947.359858,3752.145405621918,0.4368807706365367
Equatorial Guinea,GNQ,0.40210456431178815,2.0,2186.9392427432554,98.0,13846298253.753855,26.70537653949884,-24.340623549265796,3710948040.336357,1426875.5,3120490025.4589043,9716.19863987067,0.42074887051397697
Estonia,EST,0.9075801108162881,12.55141092113688,4382.971519607858,13.773253224558099,23101460807.10624,25.684288505315937,-0.5451559426487051,5931250818.001283,1314976.0,5763412000.0,17567.920883629457,0.3417720849677121
Eswatini,SWZ,0.2599430715478677,2.0,1147.1338237513926,98.0,3852253016.8857903,25.11800474886035,3.8400990442443828,4091723944.6500354,1139556.0,1307223231.658842,3380.448524284027,0.49227522027634013
Ethiopia,ETH,0.21058698145854274,6.258277840604168,502.4553725301311,52.28490331481862,61549074759.262024,39.33249914427501,25.328346502332266,24249491425.440235,102491372.5,51530441663.22865,600.2392983679727,0.5713204780413156
Faroe Islands,FRO,0.0007807511392972474,2.0,5372.539131858141,98.0,2561693928.164442,22.862957806099306,3.8782272167837846,585813922.9515953,48664.5,261451930.58231053,52639.913723150414,0.34479028761890707
Fiji,FJI,0.34656568307243774,2.0,1147.1338237513926,98.0,4581635252.770188,21.65235461741316,3.8400990442443828,992803954.8976525,918081.5,1053162341.6104141,4990.387079763546,0.5046665192892041
Finland,FIN,0.2050485107873325,19.479786489141443,6069.02894550536,41.195254890556306,232669291215.62485,22.037344341457942,-0.6062444186299274,51273420029.32088,5470521.5,33199453000.0,42531.41690089677,0.3066680827612007
France,FRA,0.1360424146351666,5.69524311462945,3675.5528139975104,46.35694696673735,2429593304963.228,21.776506342471862,2.2567048194442663,529072810641.4149,66430169.5,244169541000.0,36573.413643460335,0.3019984265436978
French Polynesia,PYF,0.18821136747623568,2.0,5372.539131858141,98.0,5282232101.504263,19.46333076829554,3.8782272167837846,1028319548.1003132,277126.5,1488872965.7248852,19060.441102409364,0.34479028761890707
Gabon,GAB,0.45015499878895915,0.5825204320030285,2376.1603222868625,60.39325815687909,14114570897.533152,32.185002447890454,-0.09457779731454252,4534842285.939127,2009694.0,4769433469.053657,7022.866000369658,0.44550725810303865
"Gambia, The",GMB,0.36598123029511287,2.0,526.5154211335213,98.0,1351303430.3811562,18.50121312224757,17.54285540006648,250504305.4091801,2194528.5,1155453097.3670146,615.7079186243283,0.5479600520428926
Georgia,GEO,0.6835465569994964,0.0,1163.7032881973425,85.10476766904569,14976990181.344496,26.263758239975505,18.231187696771777,3935034403.3099823,3722345.0,4331656551.204646,4023.4865737577534,0.4182285516706184
Germany,DEU,0.23038661222017348,24.625917278062026,3798.505667669982,79.2865389968734,3395737423506.2705,19.810007208840155,1.034185518236228,672598918460.0791,81334555.5,308956474500.0,41749.54368633228,0.3027968065856911
Ghana,GHA,0.31478220047618777,0.028482221542522036,424.336671418912,75.27153006463156,48892998508.60451,27.4373537540104,1.0007724647345952,13416341827.633205,28368830.0,12071371663.94808,1723.4967601184817,0.49570645230596916
Greece,GRC,0.3605170110701862,16.092821146667564,2152.9844922936322,84.31197615603523,194789982461.179,12.072664117688635,2.978934494715695,23516483353.232098,10856648.0,23373154500.0,17942.127539905774,0.34294706332547104
Greenland,GRL,0.20063700528729905,2.0,5372.539131858141,98.0,2531538422.3540134,23.313811174295058,-5.853628200935624,589965968.7701108,56204.5,301960875.6365209,45040.74895601469,0.34479028761890707
Grenada,GRD,0.1173428093412675,2.0,2186.9392427432554,98.0,966823172.5967277,23.736129744028798,2.849944870215566,14815472727.91158,114404.0,250194597.12679937,8450.376500590126,0.3956958647696318
Guam,GUM,3.4631089510845744e-05,2.0,5372.539131858141,98.0,5775255232.029118,22.991442074339,3.8782272167837846,67051555765.19023,165195.5,887519288.1568716,34960.485287604686,0.34479028761890707
Guatemala,GTM,0.2581166979632524,24.370261050055984,995.014775551408,67.68929848172111,60963705740.052025,14.949658715479199,0.01743108705839802,9112380738.06972,15826734.0,15769892809.782269,3851.5604910700363,0.46423794961801995
Guinea,GIN,0.30220606678046413,2.0,526.5154211335213,98.0,8632171719.638638,23.48997212549665,6.687775671510288,2028785832.3689015,11619997.0,6118107614.025253,742.8146206203777,0.5402542485666701
Guinea-Bissau,GNB,0.3135199504721734,2.0,526.5154211335213,98.0,1119082767.117372,17.557238925035023,-4.659659586642476,195619960.7764261,1763789.5,928662371.3833829,634.3384981552018,0.6408696203862226
Guyana,GUY,0.4852862962396383,2.0,2186.9392427432554,98.0,4265230710.978176,23.736129744028798,2.849944870215566,14815472727.91158,756505.0,1654430471.8314862,5638.066323437066,0.48168341406741844
Haiti,HTI,0.22783360647116074,0.0,463.43041464605705,60.00794702082436,14747117074.095835,15.265297487048219,-2.528430794479682,2249867276.0452,10448238.5,4846763096.659979,1411.447597744751,0.5206094429775866
Honduras,HND,0.4965154566505458,13.81604209341934,868.9844843192759,75.23965626424537,20591867880.522034,23.650918488299414,15.902790061798262,4875857064.483619,9150213.5,7975618002.903929,2250.2251910628324,0.4638661240194872
"Hong Kong SAR, China",HKG,0.15019313101942314,0.2721657851022066,3671.511629695583,95.58644081003172,305778043962.5325,22.681974573226615,3.8782272167837846,69315353933.647,7260400.0,26709204786.05863,42114.5155484521,0.34479028761890707
Hungary,HUN,0.37555274603785876,9.735286671340656,2373.624112599914,68.87109754351879,122936811863.99721,23.783908736881614,5.45602534219698,29233102492.05947,9854748.0,23390774500.0,12475.16898208701,0.36206065261306375
Iceland,ISL,0.20688832400917595,27.81189585406508,17697.50672871853,11.108678009357314,17145128677.299072,18.313643136620726,19.27903550867365,3143953319.5681815,329100.5,5823883500.0,52092.4627789469,0.35839586878107677
India,IND,1.112935315508634,5.26734690337657,577.4988490458642,85.7884895439004,2025711462476.9434,33.19226788135558,6.211572883562113,671541979700.2831,1320150844.5,761984167420.0516,1534.1572829544905,0.4909050862242135
Indonesia,IDN,0.6053261003297299,4.800006861990674,1009.1267461275847,82.04473772829452,840841122989.1725,34.33156804765944,4.3301493973347505,288620151902.4808,260338324.0,262915983780.30643,3229.471863803022,0.4646695167506666
"Iran, Islamic Rep.",IRN,1.5355308527973928,0.11578900931260551,2027.9794177214085,98.51129027265092,412149081327.2481,34.46103283258111,-17.47071017920674,142104132942.6461,82060703.5,165925325823.48026,5022.968376171818,0.36848001102385225
